
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
361 ,U+1F6B6 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,🚶 ,— ,🚶 ,person walking
362 ,U+1F6B6 U+200D U+2642 U+FE0F ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,🚶‍♂️ ,— ,— ,— ,— ,man walking
363 ,U+1F6B6 U+200D U+2640 U+FE0F ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,🚶‍♀️ ,— ,— ,— ,— ,woman walking
364 ,U+1F9CD ,🧍 ,🧍 ,🧍 ,🧍 ,🧍 ,🧍 ,🧍 ,🧍 ,— ,— ,— ,— ,person standing
365 ,U+1F9CD U+200D U+2642 U+FE0F ,🧍‍♂️ ,🧍‍♂️ ,🧍‍♂️ ,🧍‍♂️ ,— ,🧍‍♂️ ,🧍‍♂️ ,🧍‍♂️ ,— ,— ,— ,— ,man standing
366 ,U+1F9CD U+200D U+2640 U+FE0F ,🧍‍♀️ ,🧍‍♀️ ,🧍‍♀️ ,🧍‍♀️ ,— ,🧍‍♀️ ,🧍‍♀️ ,🧍‍♀️ ,— ,— ,— ,— ,woman standing
367 ,U+1F9CE ,🧎 ,🧎 ,🧎 ,🧎 ,🧎 ,🧎 ,🧎 ,🧎 ,— ,— ,— ,— ,person kneeling
368 ,U+1F9CE U+200D U+2642 U+FE0F ,🧎‍♂️ ,🧎‍♂️ ,🧎‍♂️ ,🧎‍♂️ ,— ,🧎‍♂️ ,🧎‍♂️ ,🧎‍♂️ ,— ,— ,— ,— ,man kneeling
369 ,U+1F9CE U+200D U+2640 U+FE0F ,🧎‍♀️ ,🧎‍♀️ ,🧎‍♀️ ,🧎‍♀️ ,— ,🧎‍♀️ ,🧎‍♀️ ,🧎‍♀️ ,— ,— ,— ,— ,woman kneeling
370 ,U+1F9D1 U+200D U+1F9AF ,🧑‍🦯 ,🧑‍🦯 ,🧑‍🦯 ,— ,— ,🧑‍🦯 ,— ,— ,— ,— ,— ,— ,⊛ person with white cane
371 ,U+1F468 U+200D U+1F9AF ,👨‍🦯 ,👨‍🦯 ,👨‍🦯 ,👨‍🦯 ,— ,👨‍🦯 ,👨‍🦯 ,👨‍🦯 ,— ,— ,— ,— ,man with white cane
372 ,U+1F469 U+200D U+1F9AF ,👩‍🦯 ,👩‍🦯 ,👩‍🦯 ,👩‍🦯 ,— ,👩‍🦯 ,👩‍🦯 ,👩‍🦯 ,— ,— ,— ,— ,woman with white cane
373 ,U+1F9D1 U+200D U+1F9BC ,🧑‍🦼 ,🧑‍🦼 ,🧑‍🦼 ,— ,— ,🧑‍🦼 ,— ,— ,— ,— ,— ,— ,⊛ person in motorized wheelchair
374 ,U+1F468 U+200D U+1F9BC ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,👨‍🦼 ,— ,— ,— ,— ,man in motorized wheelchair
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
375 ,U+1F469 U+200D U+1F9BC ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,👩‍🦼 ,— ,— ,— ,— ,woman in motorized wheelchair
376 ,U+1F9D1 U+200D U+1F9BD ,🧑‍🦽 ,🧑‍🦽 ,🧑‍🦽 ,— ,— ,🧑‍🦽 ,— ,— ,— ,— ,— ,— ,⊛ person in manual wheelchair
377 ,U+1F468 U+200D U+1F9BD ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,👨‍🦽 ,— ,— ,— ,— ,man in manual wheelchair
378 ,U+1F469 U+200D U+1F9BD ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,👩‍🦽 ,— ,— ,— ,— ,woman in manual wheelchair
379 ,U+1F3C3 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,🏃 ,person running
380 ,U+1F3C3 U+200D U+2642 U+FE0F ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,🏃‍♂️ ,— ,— ,— ,— ,man running
381 ,U+1F3C3 U+200D U+2640 U+FE0F ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,🏃‍♀️ ,— ,— ,— ,— ,woman running
382 ,U+1F483 ,💃 ,💃 ,💃 ,💃 ,💃 ,💃 ,💃 ,💃 ,💃 ,💃 ,— ,💃 ,woman dancing
383 ,U+1F57A ,🕺 ,🕺 ,🕺 ,🕺 ,🕺 ,🕺 ,🕺 ,🕺 ,— ,— ,— ,— ,man dancing
384 ,U+1F574 ,🕴 ,🕴 ,🕴 ,🕴 ,🕴 ,🕴 ,🕴 ,🕴 ,— ,— ,— ,— ,person in suit levitating
385 ,U+1F46F ,👯 ,👯 ,👯 ,👯 ,👯 ,👯 ,👯 ,👯 ,👯 ,👯 ,— ,👯 ,people with bunny ears
386 ,U+1F46F U+200D U+2642 U+FE0F ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,👯‍♂️ ,— ,— ,— ,— ,men with bunny ears
387 ,U+1F46F U+200D U+2640 U+FE0F ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,👯‍♀️ ,— ,— ,— ,— ,women with bunny ears
388 ,U+1F9D6 ,🧖 ,🧖 ,🧖 ,🧖 ,🧖 ,🧖 ,🧖 ,🧖 ,— ,— ,— ,— ,person in steamy room
389 ,U+1F9D6 U+200D U+2642 U+FE0F ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,🧖‍♂️ ,— ,— ,— ,— ,man in steamy room
390 ,U+1F9D6 U+200D U+2640 U+FE0F ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,🧖‍♀️ ,— ,— ,— ,— ,woman in steamy room
391 ,U+1F9D7 ,🧗 ,🧗 ,🧗 ,🧗 ,🧗 ,🧗 ,🧗 ,🧗 ,— ,— ,— ,— ,person climbing
392 ,U+1F9D7 U+200D U+2642 U+FE0F ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,🧗‍♂️ ,— ,— ,— ,— ,man climbing
393 ,U+1F9D7 U+200D U+2640 U+FE0F ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,🧗‍♀️ ,— ,— ,— ,— ,woman climbing
person-sport
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
394 ,U+1F93A ,🤺 ,🤺 ,🤺 ,🤺 ,🤺 ,🤺 ,🤺 ,🤺 ,— ,— ,— ,— ,person fencing
395 ,U+1F3C7 ,🏇 ,🏇 ,🏇 ,🏇 ,🏇 ,🏇 ,🏇 ,🏇 ,— ,— ,— ,— ,horse racing
396 ,U+26F7 ,⛷ ,⛷ ,⛷ ,⛷ ,⛷ ,⛷ ,⛷ ,⛷ ,— ,— ,— ,— ,skier
397 ,U+1F3C2 ,🏂 ,🏂 ,🏂 ,🏂 ,🏂 ,🏂 ,🏂 ,🏂 ,🏂 ,— ,🏂 ,🏂 ,snowboarder
398 ,U+1F3CC ,🏌 ,🏌 ,🏌 ,🏌 ,🏌 ,🏌 ,🏌 ,🏌 ,— ,— ,— ,— ,person golfing
399 ,U+1F3CC U+FE0F U+200D U+2642 U+FE0F ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,🏌️‍♂️ ,— ,— ,— ,— ,man golfing
400 ,U+1F3CC U+FE0F U+200D U+2640 U+FE0F ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,🏌️‍♀️ ,— ,— ,— ,— ,woman golfing
401 ,U+1F3C4 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,🏄 ,— ,🏄 ,person surfing
402 ,U+1F3C4 U+200D U+2642 U+FE0F ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,🏄‍♂️ ,— ,— ,— ,— ,man surfing
403 ,U+1F3C4 U+200D U+2640 U+FE0F ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,🏄‍♀️ ,— ,— ,— ,— ,woman surfing
404 ,U+1F6A3 ,🚣 ,🚣 ,🚣 ,🚣 ,🚣 ,🚣 ,🚣 ,🚣 ,— ,— ,— ,— ,person rowing boat
405 ,U+1F6A3 U+200D U+2642 U+FE0F ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,🚣‍♂️ ,— ,— ,— ,— ,man rowing boat
406 ,U+1F6A3 U+200D U+2640 U+FE0F ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,🚣‍♀️ ,— ,— ,— ,— ,woman rowing boat
407 ,U+1F3CA ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,🏊 ,— ,🏊 ,person swimming
408 ,U+1F3CA U+200D U+2642 U+FE0F ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,🏊‍♂️ ,— ,— ,— ,— ,man swimming
409 ,U+1F3CA U+200D U+2640 U+FE0F ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,🏊‍♀️ ,— ,— ,— ,— ,woman swimming
410 ,U+26F9 ,⛹ ,⛹ ,⛹ ,⛹ ,⛹ ,⛹ ,⛹ ,⛹ ,— ,— ,— ,— ,person bouncing ball
411 ,U+26F9 U+FE0F U+200D U+2642 U+FE0F ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,⛹️‍♂️ ,— ,— ,— ,— ,man bouncing ball
412 ,U+26F9 U+FE0F U+200D U+2640 U+FE0F ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,⛹️‍♀️ ,— ,— ,— ,— ,woman bouncing ball
413 ,U+1F3CB ,🏋 ,🏋 ,🏋 ,🏋 ,🏋 ,🏋 ,🏋 ,🏋 ,— ,— ,— ,— ,person lifting weights
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
414 ,U+1F3CB U+FE0F U+200D U+2642 U+FE0F ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,🏋️‍♂️ ,— ,— ,— ,— ,man lifting weights
415 ,U+1F3CB U+FE0F U+200D U+2640 U+FE0F ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,🏋️‍♀️ ,— ,— ,— ,— ,woman lifting weights
416 ,U+1F6B4 ,🚴 ,🚴 ,🚴 ,🚴 ,🚴 ,🚴 ,🚴 ,🚴 ,— ,— ,— ,— ,person biking
417 ,U+1F6B4 U+200D U+2642 U+FE0F ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,🚴‍♂️ ,— ,— ,— ,— ,man biking
418 ,U+1F6B4 U+200D U+2640 U+FE0F ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,🚴‍♀️ ,— ,— ,— ,— ,woman biking
419 ,U+1F6B5 ,🚵 ,🚵 ,🚵 ,🚵 ,🚵 ,🚵 ,🚵 ,🚵 ,— ,— ,— ,— ,person mountain biking
420 ,U+1F6B5 U+200D U+2642 U+FE0F ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,🚵‍♂️ ,— ,— ,— ,— ,man mountain biking
421 ,U+1F6B5 U+200D U+2640 U+FE0F ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,🚵‍♀️ ,— ,— ,— ,— ,woman mountain biking
422 ,U+1F938 ,🤸 ,🤸 ,🤸 ,🤸 ,🤸 ,🤸 ,🤸 ,🤸 ,— ,— ,— ,— ,person cartwheeling
423 ,U+1F938 U+200D U+2642 U+FE0F ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,🤸‍♂️ ,— ,— ,— ,— ,man cartwheeling
424 ,U+1F938 U+200D U+2640 U+FE0F ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,🤸‍♀️ ,— ,— ,— ,— ,woman cartwheeling
425 ,U+1F93C ,🤼 ,🤼 ,🤼 ,🤼 ,🤼 ,🤼 ,🤼 ,🤼 ,— ,— ,— ,— ,people wrestling
426 ,U+1F93C U+200D U+2642 U+FE0F ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,🤼‍♂️ ,— ,— ,— ,— ,men wrestling
427 ,U+1F93C U+200D U+2640 U+FE0F ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,🤼‍♀️ ,— ,— ,— ,— ,women wrestling
428 ,U+1F93D ,🤽 ,🤽 ,🤽 ,🤽 ,🤽 ,🤽 ,🤽 ,🤽 ,— ,— ,— ,— ,person playing water polo
429 ,U+1F93D U+200D U+2642 U+FE0F ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,🤽‍♂️ ,— ,— ,— ,— ,man playing water polo
430 ,U+1F93D U+200D U+2640 U+FE0F ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,🤽‍♀️ ,— ,— ,— ,— ,woman playing water polo
431 ,U+1F93E ,🤾 ,🤾 ,🤾 ,🤾 ,🤾 ,🤾 ,🤾 ,🤾 ,— ,— ,— ,— ,person playing handball
432 ,U+1F93E U+200D U+2642 U+FE0F ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,🤾‍♂️ ,— ,— ,— ,— ,man playing handball
433 ,U+1F93E U+200D U+2640 U+FE0F ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,🤾‍♀️ ,— ,— ,— ,— ,woman playing handball
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
434 ,U+1F939 ,🤹 ,🤹 ,🤹 ,🤹 ,🤹 ,🤹 ,🤹 ,🤹 ,— ,— ,— ,— ,person juggling
435 ,U+1F939 U+200D U+2642 U+FE0F ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,🤹‍♂️ ,— ,— ,— ,— ,man juggling
436 ,U+1F939 U+200D U+2640 U+FE0F ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,🤹‍♀️ ,— ,— ,— ,— ,woman juggling
person-resting
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
437 ,U+1F9D8 ,🧘 ,🧘 ,🧘 ,🧘 ,🧘 ,🧘 ,🧘 ,🧘 ,— ,— ,— ,— ,person in lotus position
438 ,U+1F9D8 U+200D U+2642 U+FE0F ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,🧘‍♂️ ,— ,— ,— ,— ,man in lotus position
439 ,U+1F9D8 U+200D U+2640 U+FE0F ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,🧘‍♀️ ,— ,— ,— ,— ,woman in lotus position
440 ,U+1F6C0 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,🛀 ,— ,🛀 ,person taking bath
441 ,U+1F6CC ,🛌 ,🛌 ,🛌 ,🛌 ,🛌 ,🛌 ,🛌 ,🛌 ,— ,— ,— ,— ,person in bed
family
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
442 ,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,🧑‍🤝‍🧑 ,— ,— ,— ,— ,people holding hands
443 ,U+1F46D ,👭 ,👭 ,👭 ,👭 ,👭 ,👭 ,👭 ,👭 ,— ,— ,— ,— ,women holding hands
444 ,U+1F46B ,👫 ,👫 ,👫 ,👫 ,👫 ,👫 ,👫 ,👫 ,👫 ,👫 ,— ,— ,woman and man holding hands
445 ,U+1F46C ,👬 ,👬 ,👬 ,👬 ,👬 ,👬 ,👬 ,👬 ,— ,— ,— ,— ,men holding hands
446 ,U+1F48F ,💏 ,💏 ,💏 ,💏 ,💏 ,💏 ,💏 ,💏 ,💏 ,💏 ,— ,💏 ,kiss
447 ,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,👩‍❤️‍💋‍👨 ,— ,— ,— ,— ,kiss: woman, man
448 ,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,👨‍❤️‍💋‍👨 ,— ,— ,— ,— ,kiss: man, man
449 ,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,👩‍❤️‍💋‍👩 ,— ,— ,— ,— ,kiss: woman, woman
450 ,U+1F491 ,💑 ,💑 ,💑 ,💑 ,💑 ,💑 ,💑 ,💑 ,💑 ,💑 ,— ,💑 ,couple with heart
451 ,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,👩‍❤️‍👨 ,— ,— ,— ,— ,couple with heart: woman, man
452 ,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,👨‍❤️‍👨 ,— ,— ,— ,— ,couple with heart: man, man
453 ,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,👩‍❤️‍👩 ,— ,— ,— ,— ,couple with heart: woman, woman
454 ,U+1F46A ,👪 ,👪 ,👪 ,👪 ,👪 ,👪 ,👪 ,👪 ,👪 ,— ,— ,👪 ,family
455 ,U+1F468 U+200D U+1F469 U+200D U+1F466 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,👨‍👩‍👦 ,— ,— ,— ,— ,family: man, woman, boy
456 ,U+1F468 U+200D U+1F469 U+200D U+1F467 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,👨‍👩‍👧 ,— ,— ,— ,— ,family: man, woman, girl
457 ,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,👨‍👩‍👧‍👦 ,— ,— ,— ,— ,family: man, woman, girl, boy
458 ,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,👨‍👩‍👦‍👦 ,— ,— ,— ,— ,family: man, woman, boy, boy
459 ,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,👨‍👩‍👧‍👧 ,— ,— ,— ,— ,family: man, woman, girl, girl
460 ,U+1F468 U+200D U+1F468 U+200D U+1F466 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,👨‍👨‍👦 ,— ,— ,— ,— ,family: man, man, boy
461 ,U+1F468 U+200D U+1F468 U+200D U+1F467 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,👨‍👨‍👧 ,— ,— ,— ,— ,family: man, man, girl
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
462 ,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,👨‍👨‍👧‍👦 ,— ,— ,— ,— ,family: man, man, girl, boy
463 ,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,👨‍👨‍👦‍👦 ,— ,— ,— ,— ,family: man, man, boy, boy
464 ,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,👨‍👨‍👧‍👧 ,— ,— ,— ,— ,family: man, man, girl, girl
465 ,U+1F469 U+200D U+1F469 U+200D U+1F466 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,👩‍👩‍👦 ,— ,— ,— ,— ,family: woman, woman, boy
466 ,U+1F469 U+200D U+1F469 U+200D U+1F467 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,👩‍👩‍👧 ,— ,— ,— ,— ,family: woman, woman, girl
467 ,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,👩‍👩‍👧‍👦 ,— ,— ,— ,— ,family: woman, woman, girl, boy
